time,acc,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,force,NaN,NaN,NaN,NaN,NaN
315.328,8471,10538,5017,11960,11960,11960,11960,11960,-1,4528,3744,-1,-1,-1,-1
316.391,8471,10538,5017,11960,11960,11960,11960,11960,-1,4512,3744,-1,-1,-1,-1
331.624,8471,10538,5017,11960,11960,11960,11960,11960,-1,4512,3760,-1,-1,-1,-1
333.360,8471,10538,5017,11960,11960,11960,11960,11960,-1,4512,3760,-1,-1,-1,-1
333.913,8471,10538,5017,11960,11960,11960,11960,11960,-1,4512,3760,-1,-1,-1,-1
334.651,8471,10538,5017,11960,11960,11960,11960,11960,-1,4512,3760,-1,-1,-1,-1
336.176,8362,10538,5017,11960,11960,11960,11960,11960,-1,4512,3760,-1,-1,-1,-1
337.396,8362,10538,5017,11960,11960,11960,11960,11960,-1,4496,3760,-1,-1,-1,-1
338.450,8362,10538,5017,11960,11960,11960,11960,11960,-1,4496,3776,-1,-1,-1,-1
339.422,8362,10571,5005,11960,11960,11960,11960,11960,-1,4496,3776,-1,-1,-1,-1
339.680,8362,10571,5005,11960,11960,11960,11960,11960,-1,4496,3776,-1,-1,-1,-1
356.644,8362,10571,5005,11960,11960,11960,11960,11960,-1,4496,3776,-1,-1,-1,-1
360.444,8362,10571,5005,11960,11960,11960,11960,11960,-1,4496,3776,-1,-1,-1,-1
361.616,8362,10571,5005,11960,11960,11960,11960,11960,-1,4416,3776,-1,-1,-1,-1
362.646,8362,10571,5005,11960,11960,11960,11960,11960,-1,4416,3776,-1,-1,-1,-1
364.865,8213,10571,5005,11960,11960,11960,11960,11960,-1,4416,3776,-1,-1,-1,-1
365.580,8213,10571,5005,11960,11960,11960,11960,11960,-1,4448,3776,-1,-1,-1,-1
379.690,8213,10571,5005,11960,11960,11960,11960,11960,-1,4448,3792,-1,-1,-1,-1
385.158,8213,10581,5012,11960,11960,11960,11960,11960,-1,4448,3792,-1,-1,-1,-1
385.500,8213,10581,5012,11960,11960,11960,11960,11960,-1,4400,3792,-1,-1,-1,-1
385.789,8213,10581,5012,11960,11960,11960,11960,11960,-1,4400,3776,-1,-1,-1,-1
386.392,8213,10581,5012,11960,11960,11960,11960,11960,-1,4400,3776,-1,-1,-1,-1
386.630,8213,10581,5012,11960,11960,11960,11960,11960,-1,4432,3776,-1,-1,-1,-1
386.896,8213,10581,5012,11960,11960,11960,11960,11960,-1,4432,3792,-1,-1,-1,-1
387.858,8054,10581,5012,11960,11960,11960,11960,11960,-1,4432,3792,-1,-1,-1,-1
388.156,8054,10581,5012,11960,11960,11960,11960,11960,-1,4384,3792,-1,-1,-1,-1
405.650,8054,10581,5012,11960,11960,11960,11960,11960,-1,4384,3776,-1,-1,-1,-1
408.937,8054,10610,4936,11960,11960,11960,11960,11960,-1,4384,3776,-1,-1,-1,-1
409.864,8054,10610,4936,11960,11960,11960,11960,11960,-1,4288,3776,-1,-1,-1,-1
410.585,8054,10610,4936,11960,11960,11960,11960,11960,-1,4288,3776,-1,-1,-1,-1
440.596,8054,10610,4936,11960,11960,11960,11960,11960,-1,4288,3776,-1,-1,-1,-1
442.712,8054,10610,4936,11960,11960,11960,11960,11960,-1,4256,3776,-1,-1,-1,-1
443.971,8054,10610,4936,11960,11960,11960,11960,11960,-1,4256,3776,-1,-1,-1,-1
446.470,8227,10610,4936,11960,11960,11960,11960,11960,-1,4256,3776,-1,-1,-1,-1
447.136,8227,10610,4936,11960,11960,11960,11960,11960,-1,4288,3776,-1,-1,-1,-1
448.127,8227,10610,4936,11960,11960,11960,11960,11960,-1,4288,3776,-1,-1,-1,-1
448.935,8227,10568,4969,11960,11960,11960,11960,11960,-1,4288,3776,-1,-1,-1,-1
449.359,8227,10568,4969,11960,11960,11960,11960,11960,-1,4336,3776,-1,-1,-1,-1
449.679,8227,10568,4969,11960,11960,11960,11960,11960,-1,4336,3776,-1,-1,-1,-1
