time,acc,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,force,NaN,NaN,NaN,NaN,NaN
358.680,8192,8192,8192,11960,11960,11960,11960,11960,-1,1056,5792,-1,-1,-1,-1
358.972,8192,8192,8192,11960,11960,11960,11960,11960,-1,1072,5792,-1,-1,-1,-1
359.397,8192,8192,8192,11960,11960,11960,11960,11960,-1,1072,5792,-1,-1,-1,-1
362.152,8192,8192,8192,11960,11960,11960,11960,11960,-1,1072,5792,-1,-1,-1,-1
362.943,8192,8192,8192,11960,11960,11960,11960,11960,-1,1056,5792,-1,-1,-1,-1
363.798,8192,8192,8192,11960,11960,11960,11960,11960,-1,1056,5776,-1,-1,-1,-1
365.052,8192,8192,8192,11960,11960,11960,11960,11960,-1,1056,5776,-1,-1,-1,-1
365.310,8192,8192,8192,11960,11960,11960,11960,11960,-1,1104,5776,-1,-1,-1,-1
365.597,8192,8192,8192,11960,11960,11960,11960,11960,-1,1104,5792,-1,-1,-1,-1
384.815,8192,8192,8192,11960,11960,11960,11960,11960,-1,1104,5792,-1,-1,-1,-1
385.632,8192,8192,8192,11960,11960,11960,11960,11960,-1,1088,5792,-1,-1,-1,-1
386.278,8192,8192,8192,11960,11960,11960,11960,11960,-1,1088,5792,-1,-1,-1,-1
387.559,8192,8192,8192,11960,11960,11960,11960,11960,-1,1088,5792,-1,-1,-1,-1
388.068,8192,8192,8192,11960,11960,11960,11960,11960,-1,1088,5792,-1,-1,-1,-1
388.792,8192,8192,8192,11960,11960,11960,11960,11960,-1,1088,5776,-1,-1,-1,-1
413.659,8192,8192,8192,11960,11960,11960,11960,11960,-1,1088,5776,-1,-1,-1,-1
414.241,8192,8192,8192,11960,11960,11960,11960,11960,-1,1088,5776,-1,-1,-1,-1
415.028,8192,8192,8192,11960,11960,11960,11960,11960,-1,1088,5792,-1,-1,-1,-1
416.409,8192,8192,8192,11960,11960,11960,11960,11960,-1,1088,5792,-1,-1,-1,-1
416.934,8192,8192,8192,11960,11960,11960,11960,11960,-1,1104,5792,-1,-1,-1,-1
417.505,8192,8192,8192,11960,11960,11960,11960,11960,-1,1104,5792,-1,-1,-1,-1
419.016,8192,8192,8192,11960,11960,11960,11960,11960,-1,1104,5792,-1,-1,-1,-1
419.949,8192,8192,8192,11960,11960,11960,11960,11960,-1,1056,5792,-1,-1,-1,-1
420.981,8192,8192,8192,11960,11960,11960,11960,11960,-1,1056,5808,-1,-1,-1,-1
437.293,8192,8192,8192,11960,11960,11960,11960,11960,-1,1056,5808,-1,-1,-1,-1
437.878,8192,8192,8192,11960,11960,11960,11960,11960,-1,1040,5808,-1,-1,-1,-1
438.625,8192,8192,8192,11960,11960,11960,11960,11960,-1,1040,5792,-1,-1,-1,-1
441.203,8192,8192,8192,11960,11960,11960,11960,11960,-1,1040,5792,-1,-1,-1,-1
441.913,8192,8192,8192,11960,11960,11960,11960,11960,-1,1056,5792,-1,-1,-1,-1
442.576,8192,8192,8192,11960,11960,11960,11960,11960,-1,1056,5808,-1,-1,-1,-1
466.166,8192,8192,8192,11960,11960,11960,11960,11960,-1,1056,5808,-1,-1,-1,-1
466.890,8192,8192,8192,11960,11960,11960,11960,11960,-1,1056,5808,-1,-1,-1,-1
467.512,8192,8192,8192,11960,11960,11960,11960,11960,-1,1056,5792,-1,-1,-1,-1
468.804,8192,8192,8192,11960,11960,11960,11960,11960,-1,1056,5792,-1,-1,-1,-1
469.433,8192,8192,8192,11960,11960,11960,11960,11960,-1,1072,5792,-1,-1,-1,-1
470.275,8192,8192,8192,11960,11960,11960,11960,11960,-1,1072,5792,-1,-1,-1,-1
472.207,8192,8192,8192,11960,11960,11960,11960,11960,-1,1072,5792,-1,-1,-1,-1
472.491,8192,8192,8192,11960,11960,11960,11960,11960,-1,1088,5792,-1,-1,-1,-1
472.761,8192,8192,8192,11960,11960,11960,11960,11960,-1,1088,5808,-1,-1,-1,-1
509.024,8192,8192,8192,11960,11960,11960,11960,11960,-1,1088,5808,-1,-1,-1,-1
509.970,8192,8192,8192,11960,11960,11960,11960,11960,-1,1088,5808,-1,-1,-1,-1
511.211,8192,8192,8192,11960,11960,11960,11960,11960,-1,1088,5792,-1,-1,-1,-1
513.351,8192,8192,8192,11960,11960,11960,11960,11960,-1,1088,5792,-1,-1,-1,-1
513.702,8192,8192,8192,11960,11960,11960,11960,11960,-1,1104,5792,-1,-1,-1,-1
513.976,8192,8192,8192,11960,11960,11960,11960,11960,-1,1104,5792,-1,-1,-1,-1
514.650,8192,8192,8192,11960,11960,11960,11960,11960,-1,1104,5792,-1,-1,-1,-1
515.245,8192,8192,8192,11960,11960,11960,11960,11960,-1,1088,5792,-1,-1,-1,-1
515.902,8192,8192,8192,11960,11960,11960,11960,11960,-1,1088,5792,-1,-1,-1,-1
516.677,8192,8192,8192,11960,11960,11960,11960,11960,-1,1088,5792,-1,-1,-1,-1
516.929,8192,8192,8192,11960,11960,11960,11960,11960,-1,1088,5792,-1,-1,-1,-1
517.192,8192,8192,8192,11960,11960,11960,11960,11960,-1,1088,5792,-1,-1,-1,-1
517.887,8192,8192,8192,11960,11960,11960,11960,11960,-1,1088,5792,-1,-1,-1,-1
518.683,8192,8192,8192,11960,11960,11960,11960,11960,-1,1104,5792,-1,-1,-1,-1
519.016,8192,8192,8192,11960,11960,11960,11960,11960,-1,1104,5792,-1,-1,-1,-1
533.142,8192,8192,8192,11960,11960,11960,11960,11960,-1,1104,5792,-1,-1,-1,-1
534.132,8192,8192,8192,11960,11960,11960,11960,11960,-1,1088,5792,-1,-1,-1,-1
534.941,8192,8192,8192,11960,11960,11960,11960,11960,-1,1088,5792,-1,-1,-1,-1
536.263,8192,8192,8192,11960,11960,11960,11960,11960,-1,1088,5792,-1,-1,-1,-1
536.812,8192,8192,8192,11960,11960,11960,11960,11960,-1,1088,5792,-1,-1,-1,-1
537.390,8192,8192,8192,11960,11960,11960,11960,11960,-1,1088,5792,-1,-1,-1,-1
562.227,8192,8192,8192,11960,11960,11960,11960,11960,-1,1088,5792,-1,-1,-1,-1
562.836,8192,8192,8192,11960,11960,11960,11960,11960,-1,1088,5792,-1,-1,-1,-1
563.864,8192,8192,8192,11960,11960,11960,11960,11960,-1,1088,5776,-1,-1,-1,-1
565.059,8192,8192,8192,11960,11960,11960,11960,11960,-1,1088,5776,-1,-1,-1,-1
565.317,8192,8192,8192,11960,11960,11960,11960,11960,-1,1072,5776,-1,-1,-1,-1
565.846,8192,8192,8192,11960,11960,11960,11960,11960,-1,1072,5792,-1,-1,-1,-1
569.921,8192,8192,8192,11960,11960,11960,11960,11960,-1,1072,5792,-1,-1,-1,-1
571.161,8192,8192,8192,11960,11960,11960,11960,11960,-1,1072,5792,-1,-1,-1,-1
571.974,8192,8192,8192,11960,11960,11960,11960,11960,-1,1072,5792,-1,-1,-1,-1
573.888,8192,8192,8192,11960,11960,11960,11960,11960,-1,1072,5792,-1,-1,-1,-1
574.530,8192,8192,8192,11960,11960,11960,11960,11960,-1,1072,5792,-1,-1,-1,-1
575.115,8192,8192,8192,11960,11960,11960,11960,11960,-1,1072,5792,-1,-1,-1,-1
611.152,8192,8192,8192,11960,11960,11960,11960,11960,-1,1072,5792,-1,-1,-1,-1
612.007,8192,8192,8192,11960,11960,11960,11960,11960,-1,1072,5792,-1,-1,-1,-1
612.770,8192,8192,8192,11960,11960,11960,11960,11960,-1,1072,5792,-1,-1,-1,-1
614.648,8192,8192,8192,11960,11960,11960,11960,11960,-1,1072,5792,-1,-1,-1,-1
615.223,8192,8192,8192,11960,11960,11960,11960,11960,-1,1088,5792,-1,-1,-1,-1
616.136,8192,8192,8192,11960,11960,11960,11960,11960,-1,1088,5776,-1,-1,-1,-1
617.472,8192,8192,8192,11960,11960,11960,11960,11960,-1,1088,5776,-1,-1,-1,-1
617.739,8192,8192,8192,11960,11960,11960,11960,11960,-1,1072,5776,-1,-1,-1,-1
618.003,8192,8192,8192,11960,11960,11960,11960,11960,-1,1072,5776,-1,-1,-1,-1
618.546,8192,8192,8192,11960,11960,11960,11960,11960,-1,1072,5776,-1,-1,-1,-1
618.769,8192,8192,8192,11960,11960,11960,11960,11960,-1,1072,5776,-1,-1,-1,-1
619.015,8192,8192,8192,11960,11960,11960,11960,11960,-1,1072,5776,-1,-1,-1,-1
633.552,8192,8192,8192,11960,11960,11960,11960,11960,-1,1072,5776,-1,-1,-1,-1
634.233,8192,8192,8192,11960,11960,11960,11960,11960,-1,1088,5776,-1,-1,-1,-1
635.117,8192,8192,8192,11960,11960,11960,11960,11960,-1,1088,5776,-1,-1,-1,-1
636.253,8192,8192,8192,11960,11960,11960,11960,11960,-1,1088,5776,-1,-1,-1,-1
636.651,8192,8192,8192,11960,11960,11960,11960,11960,-1,1104,5776,-1,-1,-1,-1
637.101,8192,8192,8192,11960,11960,11960,11960,11960,-1,1104,5776,-1,-1,-1,-1
659.028,8192,8192,8192,11960,11960,11960,11960,11960,-1,1104,5776,-1,-1,-1,-1
660.010,8192,8192,8192,11960,11960,11960,11960,11960,-1,1088,5776,-1,-1,-1,-1
660.745,8192,8192,8192,11960,11960,11960,11960,11960,-1,1088,5776,-1,-1,-1,-1
662.565,8192,8192,8192,11960,11960,11960,11960,11960,-1,1088,5776,-1,-1,-1,-1
663.117,8192,8192,8192,11960,11960,11960,11960,11960,-1,1104,5776,-1,-1,-1,-1
663.718,8192,8192,8192,11960,11960,11960,11960,11960,-1,1104,5760,-1,-1,-1,-1
684.938,8192,8192,8192,11960,11960,11960,11960,11960,-1,1104,5760,-1,-1,-1,-1
685.621,8192,8192,8192,11960,11960,11960,11960,11960,-1,1104,5760,-1,-1,-1,-1
686.493,8192,8192,8192,11960,11960,11960,11960,11960,-1,1104,5776,-1,-1,-1,-1
688.084,8192,8192,8192,11960,11960,11960,11960,11960,-1,1104,5776,-1,-1,-1,-1
688.841,8192,8192,8192,11960,11960,11960,11960,11960,-1,1088,5776,-1,-1,-1,-1
691.059,8192,8192,8192,11960,11960,11960,11960,11960,-1,1088,5760,-1,-1,-1,-1
692.077,8192,8192,8192,11960,11960,11960,11960,11960,-1,1088,5760,-1,-1,-1,-1
692.345,8192,8192,8192,11960,11960,11960,11960,11960,-1,1072,5760,-1,-1,-1,-1
692.659,8192,8192,8192,11960,11960,11960,11960,11960,-1,1072,5776,-1,-1,-1,-1
693.152,8192,8192,8192,11960,11960,11960,11960,11960,-1,1072,5776,-1,-1,-1,-1
710.142,8192,8192,8192,11960,11960,11960,11960,11960,-1,1088,5776,-1,-1,-1,-1
711.092,8192,8192,8192,11960,11960,11960,11960,11960,-1,1088,5760,-1,-1,-1,-1
712.912,8192,8192,8192,11960,11960,11960,11960,11960,-1,1088,5760,-1,-1,-1,-1
713.703,8192,8192,8192,11960,11960,11960,11960,11960,-1,1104,5760,-1,-1,-1,-1
714.865,8192,8192,8192,11960,11960,11960,11960,11960,-1,1104,5776,-1,-1,-1,-1
716.202,8192,8192,8192,11960,11960,11960,11960,11960,-1,1104,5776,-1,-1,-1,-1
716.765,8192,8192,8192,11960,11960,11960,11960,11960,-1,1088,5776,-1,-1,-1,-1
717.072,8192,8192,8192,11960,11960,11960,11960,11960,-1,1088,5776,-1,-1,-1,-1
717.679,8192,8192,8192,11960,11960,11960,11960,11960,-1,1088,5776,-1,-1,-1,-1
735.519,8192,8192,8192,11960,11960,11960,11960,11960,-1,1184,5776,-1,-1,-1,-1
736.289,8192,8192,8192,11960,11960,11960,11960,11960,-1,1184,5776,-1,-1,-1,-1
737.882,8192,8192,8192,11960,11960,11960,11960,11960,-1,1184,5776,-1,-1,-1,-1
738.425,8192,8192,8192,11960,11960,11960,11960,11960,-1,1184,5776,-1,-1,-1,-1
739.022,8192,8192,8192,11960,11960,11960,11960,11960,-1,1184,5760,-1,-1,-1,-1
760.354,8192,8192,8192,11960,11960,11960,11960,11960,-1,1184,5760,-1,-1,-1,-1
761.152,8192,8192,8192,11960,11960,11960,11960,11960,-1,1200,5760,-1,-1,-1,-1
761.866,8192,8192,8192,11960,11960,11960,11960,11960,-1,1200,5760,-1,-1,-1,-1
762.443,8192,8192,8192,11960,11960,11960,11960,11960,-1,1184,5760,-1,-1,-1,-1
763.031,8192,8192,8192,11960,11960,11960,11960,11960,-1,1184,5760,-1,-1,-1,-1
763.605,8192,8192,8192,11960,11960,11960,11960,11960,-1,1184,5760,-1,-1,-1,-1
784.184,8192,8192,8192,11960,11960,11960,11960,11960,-1,1200,5760,-1,-1,-1,-1
784.942,8192,8192,8192,11960,11960,11960,11960,11960,-1,1200,5776,-1,-1,-1,-1
786.830,8192,8192,8192,11960,11960,11960,11960,11960,-1,1200,5776,-1,-1,-1,-1
787.781,8192,8192,8192,11960,11960,11960,11960,11960,-1,1184,5776,-1,-1,-1,-1
788.201,8192,8192,8192,11960,11960,11960,11960,11960,-1,1184,5776,-1,-1,-1,-1
789.118,8192,8192,8192,11960,11960,11960,11960,11960,-1,1184,5776,-1,-1,-1,-1
790.780,8192,8192,8192,11960,11960,11960,11960,11960,-1,1200,5776,-1,-1,-1,-1
791.404,8192,8192,8192,11960,11960,11960,11960,11960,-1,1200,5776,-1,-1,-1,-1
791.966,8192,8192,8192,11960,11960,11960,11960,11960,-1,1200,5776,-1,-1,-1,-1
792.196,8192,8192,8192,11960,11960,11960,11960,11960,-1,1184,5776,-1,-1,-1,-1
809.854,8192,8192,8192,11960,11960,11960,11960,11960,-1,1184,5760,-1,-1,-1,-1
810.577,8192,8192,8192,11960,11960,11960,11960,11960,-1,1184,5760,-1,-1,-1,-1
810.994,8192,8192,8192,11960,11960,11960,11960,11960,-1,1232,5760,-1,-1,-1,-1
811.332,8192,8192,8192,11960,11960,11960,11960,11960,-1,1232,5776,-1,-1,-1,-1
812.323,8192,8192,8192,11960,11960,11960,11960,11960,-1,1232,5776,-1,-1,-1,-1
812.596,8192,8192,8192,11960,11960,11960,11960,11960,-1,1264,5776,-1,-1,-1,-1
834.449,8192,8192,8192,11960,11960,11960,11960,11960,-1,1264,5776,-1,-1,-1,-1
836.175,8192,8192,8192,11960,11960,11960,11960,11960,-1,1264,5776,-1,-1,-1,-1
837.016,8192,8192,8192,11960,11960,11960,11960,11960,-1,1264,5776,-1,-1,-1,-1
837.334,8192,8192,8192,11960,11960,11960,11960,11960,-1,1264,5776,-1,-1,-1,-1
837.885,8192,8192,8192,11960,11960,11960,11960,11960,-1,1264,5776,-1,-1,-1,-1
839.188,8192,8192,8192,11960,11960,11960,11960,11960,-1,1264,5776,-1,-1,-1,-1
840.096,8192,8192,8192,11960,11960,11960,11960,11960,-1,1264,5776,-1,-1,-1,-1
841.609,8192,8192,8192,11960,11960,11960,11960,11960,-1,1264,5776,-1,-1,-1,-1
842.203,8192,8192,8192,11960,11960,11960,11960,11960,-1,1280,5776,-1,-1,-1,-1
859.148,8192,8192,8192,11960,11960,11960,11960,11960,-1,1280,5776,-1,-1,-1,-1
861.087,8192,8192,8192,11960,11960,11960,11960,11960,-1,1280,5776,-1,-1,-1,-1
861.663,8192,8192,8192,11960,11960,11960,11960,11960,-1,1312,5776,-1,-1,-1,-1
862.332,8192,8192,8192,11960,11960,11960,11960,11960,-1,1312,5776,-1,-1,-1,-1
863.395,8192,8192,8192,11960,11960,11960,11960,11960,-1,1312,5776,-1,-1,-1,-1
867.120,8192,8192,8192,11960,11960,11960,11960,11960,-1,1328,5776,-1,-1,-1,-1
867.877,8192,8192,8192,11960,11960,11960,11960,11960,-1,1328,5776,-1,-1,-1,-1
869.180,8192,8192,8192,11960,11960,11960,11960,11960,-1,1328,5776,-1,-1,-1,-1
883.151,8192,8192,8192,11960,11960,11960,11960,11960,-1,1328,5776,-1,-1,-1,-1
883.554,8192,8192,8192,11960,11960,11960,11960,11960,-1,1328,5776,-1,-1,-1,-1
884.080,8192,8192,8192,11960,11960,11960,11960,11960,-1,1328,5776,-1,-1,-1,-1
884.315,8192,8192,8192,11960,11960,11960,11960,11960,-1,1312,5776,-1,-1,-1,-1
888.105,8192,8192,8192,11960,11960,11960,11960,11960,-1,1312,5776,-1,-1,-1,-1
890.358,8192,8192,8192,11960,11960,11960,11960,11960,-1,1312,5776,-1,-1,-1,-1
891.073,8192,8192,8192,11960,11960,11960,11960,11960,-1,1328,5776,-1,-1,-1,-1
908.203,8192,8192,8192,11960,11960,11960,11960,11960,-1,1328,5776,-1,-1,-1,-1
909.119,8192,8192,8192,11960,11960,11960,11960,11960,-1,1328,5776,-1,-1,-1,-1
910.326,8192,8192,8192,11960,11960,11960,11960,11960,-1,1328,5776,-1,-1,-1,-1
910.727,8192,8192,8192,11960,11960,11960,11960,11960,-1,1328,5776,-1,-1,-1,-1
911.247,8192,8192,8192,11960,11960,11960,11960,11960,-1,1328,5776,-1,-1,-1,-1
911.493,8192,8192,8192,11960,11960,11960,11960,11960,-1,1344,5776,-1,-1,-1,-1
932.954,8192,8192,8192,11960,11960,11960,11960,11960,-1,1344,5776,-1,-1,-1,-1
933.544,8192,8192,8192,11960,11960,11960,11960,11960,-1,1344,5776,-1,-1,-1,-1
933.802,8192,8192,8192,11960,11960,11960,11960,11960,-1,1328,5776,-1,-1,-1,-1
938.163,8192,8192,8192,11960,11960,11960,11960,11960,-1,1328,5776,-1,-1,-1,-1
