Id,ParamName,ParamValue,Event_id
3712,Entity Name,Target_5shot_110,1288
3713,Trainee Name,Tom Hut,1289
3714,Weapon Name,GLOCK19,1289
3715,Ammunition Name,9MM_LUGER,1289
3716,Target Name,Target_5shot_110,1290
3717,Score,2,1290
3718,Collider,target-hit-2,1290
3719,Trainee Name,Tom Hut,1290
3720,Trainee Name,Tom Hut,1291
3721,Weapon Name,GLOCK19,1291
3722,Ammunition Name,9MM_LUGER,1291
3723,Target Name,Target_5shot_110,1292
3724,Score,5,1292
3725,Collider,target-hit-5,1292
3726,Trainee Name,Tom Hut,1292
3727,Trainee Name,Tom Hut,1293
3728,Weapon Name,GLOCK19,1293
3729,Ammunition Name,9MM_LUGER,1293
3730,Target Name,Target_5shot_110,1294
3731,Score,7,1294
3732,Collider,target-hit-7,1294
3733,Trainee Name,Tom Hut,1294
