ImpactPosX,ImpactPosY,,,,,,
0.07999147,1.36005,,,,,,
,,,,,,,
0.2216556,1.273666,,,,,,
,,,,,,,
0.09257004,1.406631,,,,,,
,,,,,,,
0.09666122,1.305832,,,,,,
,,,,,,,
,,,,,,,
0.1920395,1.351143,,,,,,
,,,,,,,
0.1372679,1.349369,,,,,,
,,,,,,,
-0.03480551,1.370449,,,,,,
,,,,,,,
0.08102862,1.265415,,,,,,
,,,,,,,
0.160044,1.383598,,,,,,
,,,,,,,
0.251331,1.346695,,,,,,
,,,,,,,
0.09318013,1.259232,,,,,,
,,,,,,,
0.1161392,1.28104,,,,,,
,,,,,,,
0.09134807,1.318211,,,,,,
,,,,,,,
0.1645012,1.28587,,,,,,
,,,,,,,
0.1940545,1.341751,,,,,,
,,,,,,,
0.08322673,1.473282,,,,,,
,,,,,,,
0.04152185,1.372334,,,,,,
,,,,,,,
0.06893992,1.404964,,,,,,
,,,,,,,
0.2275179,1.309368,,,,,,
,,,,,,,
0.1953985,1.316944,,,,,,
,,,,,,,
0.1883162,1.163414,,,,,,
,,,,,,,
0.02008983,1.327168,,,,,,
,,,,,,,
0.03016526,1.386257,,,,,,
,,,,,,,
-0.01807475,1.341118,,,,,,
,,,,,,,
0.02894328,1.196987,,,,,,
,,,,,,,
-0.03279042,1.362736,,,,,,
,,,,,,,
0.1654163,1.261883,,,,,,
,,,,,,,
0.00940433,1.404793,,,,,,
,,,,,,,
0.01019744,1.263622,,,,,,
,,,,,,,
-0.01215151,1.396969,,,,,,
,,,,,,,
0.07883051,1.293133,,,,,,
,,,,,,,
0.04659097,1.474651,,,,,,
,,,,,,,
-0.02906529,1.29604,,,,,,
,,,,,,,
-0.0545903,1.347191,,,,,,
,,,,,,,
-0.03413442,1.359669,,,,,,
,,,,,,,
-0.06777895,1.387455,,,,,,
,,,,,,,
-0.004579243,1.302361,,,,,,
,,,,,,,
0.000122017,1.2743,,,,,,
,,,,,,,
-0.001771051,1.246429,,,,,,
,,,,,,,
0.05336832,1.195545,,,,,,
,,,,,,,
-0.01721882,1.263565,,,,,,
,,,,,,,
0.1288416,1.339878,,,,,,
,,,,,,,
-0.00903647,1.328735,,,,,,
,,,,,,,
-0.06002366,1.351826,,,,,,
,,,,,,,
0.003603111,1.341164,,,,,,
,,,,,,,
-0.04451488,1.399925,,,,,,
,,,,,,,
0.006350294,1.398571,,,,,,
,,,,,,,
-0.01123458,1.285267,,,,,,
,,,,,,,
-0.07400724,1.384346,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
0.04561303,1.207897,,,,,,
,,,,,,,
0.03004324,1.386192,,,,,,
,,,,,,,
0.06191673,1.325878,,,,,,
,,,,,,,
,,,,,,,
-0.03456147,1.306664,,,,,,
,,,,,,,
-0.1077738,1.481789,,,,,,
,,,,,,,
0.1423963,1.39127,,,,,,
,,,,,,,
0.0489721,1.175358,,,,,,
,,,,,,,
-0.005923236,1.361317,,,,,,
,,,,,,,
0.1242605,1.336899,,,,,,
,,,,,,,
0.1332988,1.403519,,,,,,
,,,,,,,
-0.02094395,1.342659,,,,,,
,,,,,,,
-0.04274383,1.351856,,,,,,
